Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
2011-06-01,100.62833404541000,23626.4296875,9719.6103515625,6.849999904632570,2141.340087890630,3837.647216796880,34.275875091552700,37.5152702331543,37.1374397277832,,38.63538360595700,69.00169372558590,118.80830383300800,,,,76.17041015625
2011-07-01,102.69783782959000,,9868.0703125,7.050000190734860,2125.739990234380,3926.9814453125,35.07146453857420,38.09296798706060,37.73592758178710,,39.43112564086910,69.64920043945310,118.39014434814500,,,,73.29139709472660
2011-08-01,98.74502563476560,22663.369140625,9965.009765625,7.650000095367430,2172.31005859375,4193.31640625,33.11020278930660,35.35240936279300,37.04536819458010,,38.53868865966800,71.450439453125,120.40131378173800,,,,77.42304992675780
2011-09-01,92.65357208251950,20585.330078125,9060.7998046875,7.150000095367430,1880.699951171880,,31.306217193603500,32.17506408691410,33.546470642089800,,34.8133659362793,71.26892852783200,118.3403549194340,,,,85.84148406982420
2011-09-30,87.14241790771480,,,6.0,,,28.059030532836900,28.645465850830100,27.492441177368200,,28.738210678100600,67.77200317382810,118.36026763916000,,,,95.16059875488280
2011-11-01,93.95957946777340,19369.9609375,8835.51953125,7.150000095367430,1909.6300048828100,3684.902587890630,29.113676071167000,30.864688873291000,31.16015625,,32.60272979736330,71.24220275878910,120.72987365722700,,,,94.58013916015630
2011-12-01,96.25149536132810,19002.259765625,8597.3798828125,7.599999904632570,1916.1800537109400,3780.987060546880,31.26921272277830,30.94217872619630,31.259906768798800,,32.66004180908200,70.66080474853520,115.9408950805660,,,,92.86872100830080
2012-01-02,,,,,1826.3699951171900,3809.02685546875,,,,,,,,,,,
2012-02-01,102.68746948242200,20333.369140625,8809.7900390625,8.0,1959.239990234380,3964.8583984375,31.04718589782720,32.886268615722700,34.02452850341800,,35.576873779296900,72.35992431640630,122.5219955444340,,,,95.13154602050780
2012-03-01,106.80945587158200,21387.9609375,9707.3701171875,8.25,,3962.168212890630,32.86967468261720,34.41259765625,35.42289733886720,,36.990360260009800,74.48082733154300,122.71116638183600,,,,92.8521728515625
2012-04-02,110.45724487304700,20522.259765625,10109.8701171875,7.75,2029.2900390625,4165.9482421875,34.50714874267580,34.530582427978500,34.535152435302700,,35.990177154541000,74.52552032470700,123.42802429199200,,,,90.2613525390625
2012-05-01,109.54489135742200,,9350.9501953125,7.849999904632570,,4195.859375,33.970584869384800,33.43191146850590,33.67100143432620,,35.1304931640625,75.56743621826170,123.74662017822300,,,,93.61540222167970
2012-06-01,99.85584259033200,18558.33984375,8440.25,5.599999904632570,1834.510009765630,3799.6533203125,30.88066291809080,28.491605758667000,29.13020896911620,,30.327964782714800,72.28549194335940,123.37823486328100,,,,105.03228759765600
2012-07-02,106.84651184082000,,9003.48046875,5.75,1851.6500244140600,3991.421630859380,31.713272094726600,31.80234146118160,31.400602340698200,,32.73199462890630,76.90220642089840,123.44493865966800,,,,101.91561126709000
2012-08-01,107.74639892578100,19820.380859375,8641.849609375,5.349999904632570,1879.9300537109400,4130.34228515625,30.806659698486300,31.743358612060500,31.534156799316400,,32.78217697143560,79.61023712158200,125.48199462890600,,,,104.2020263671880
2012-08-31,110.46297454834000,,,4.75,,,32.453372955322300,33.16645812988280,31.51059341430660,,32.85746383666990,80.26815795898440,125.85536193847700,,,,103.34434509277300
